country_type,Country,League,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
Main,Scotland,Division 3,1999/2000,07/08/99,Albion Rvs,Dumbarton,1,3,A
Main,Scotland,Division 3,1999/2000,07/08/99,East Fife,Berwick,1,2,A
Main,Scotland,Division 3,1999/2000,07/08/99,Forfar,Brechin,0,0,D
Main,Scotland,Division 3,1999/2000,07/08/99,Montrose,Cowdenbeath,0,1,A
Main,Scotland,Division 3,1999/2000,07/08/99,Queens Park,East Stirling,2,1,H
Main,Scotland,Division 3,1999/2000,14/08/99,Berwick,Albion Rvs,1,1,D
Main,Scotland,Division 3,1999/2000,14/08/99,Brechin,Queens Park,1,2,A
Main,Scotland,Division 3,1999/2000,14/08/99,Cowdenbeath,Forfar,0,3,A
Main,Scotland,Division 3,1999/2000,14/08/99,Dumbarton,Montrose,3,4,A
Main,Scotland,Division 3,1999/2000,14/08/99,East Stirling,East Fife,0,2,A
Main,Scotland,Division 3,1999/2000,21/08/99,Albion Rvs,Brechin,0,0,D
Main,Scotland,Division 3,1999/2000,21/08/99,East Fife,Dumbarton,1,0,H
Main,Scotland,Division 3,1999/2000,21/08/99,Forfar,East Stirling,1,1,D
Main,Scotland,Division 3,1999/2000,21/08/99,Montrose,Berwick,1,2,A
Main,Scotland,Division 3,1999/2000,21/08/99,Queens Park,Cowdenbeath,1,0,H
Main,Scotland,Division 3,1999/2000,28/08/99,Berwick,Queens Park,1,2,A
Main,Scotland,Division 3,1999/2000,28/08/99,Brechin,Dumbarton,0,2,A
Main,Scotland,Division 3,1999/2000,28/08/99,East Fife,Montrose,0,0,D
Main,Scotland,Division 3,1999/2000,28/08/99,East Stirling,Cowdenbeath,0,1,A
Main,Scotland,Division 3,1999/2000,28/08/99,Forfar,Albion Rvs,2,0,H
Main,Scotland,Division 3,1999/2000,04/09/99,Albion Rvs,East Fife,1,3,A
Main,Scotland,Division 3,1999/2000,04/09/99,Cowdenbeath,Brechin,6,1,H
Main,Scotland,Division 3,1999/2000,04/09/99,Dumbarton,Berwick,2,1,H
Main,Scotland,Division 3,1999/2000,04/09/99,Montrose,East Stirling,1,2,A
Main,Scotland,Division 3,1999/2000,04/09/99,Queens Park,Forfar,1,1,D
Main,Scotland,Division 3,1999/2000,11/09/99,Albion Rvs,Montrose,1,3,A
Main,Scotland,Division 3,1999/2000,11/09/99,Berwick,Cowdenbeath,0,2,A
Main,Scotland,Division 3,1999/2000,11/09/99,Brechin,East Stirling,1,2,A
Main,Scotland,Division 3,1999/2000,11/09/99,Dumbarton,Queens Park,0,1,A
Main,Scotland,Division 3,1999/2000,11/09/99,East Fife,Forfar,2,0,H
Main,Scotland,Division 3,1999/2000,18/09/99,Cowdenbeath,East Fife,4,0,H
Main,Scotland,Division 3,1999/2000,18/09/99,East Stirling,Dumbarton,1,3,A
Main,Scotland,Division 3,1999/2000,18/09/99,Forfar,Berwick,1,1,D
Main,Scotland,Division 3,1999/2000,18/09/99,Montrose,Brechin,0,1,A
Main,Scotland,Division 3,1999/2000,18/09/99,Queens Park,Albion Rvs,2,0,H
Main,Scotland,Division 3,1999/2000,25/09/99,Albion Rvs,East Stirling,1,1,D
Main,Scotland,Division 3,1999/2000,25/09/99,Berwick,Brechin,2,0,H
Main,Scotland,Division 3,1999/2000,25/09/99,Dumbarton,Cowdenbeath,1,1,D
Main,Scotland,Division 3,1999/2000,25/09/99,East Fife,Queens Park,0,0,D
Main,Scotland,Division 3,1999/2000,28/09/99,Montrose,Forfar,2,0,H
Main,Scotland,Division 3,1999/2000,02/10/99,Brechin,East Fife,1,3,A
Main,Scotland,Division 3,1999/2000,02/10/99,Cowdenbeath,Albion Rvs,0,0,D
Main,Scotland,Division 3,1999/2000,02/10/99,East Stirling,Berwick,0,3,A
Main,Scotland,Division 3,1999/2000,02/10/99,Forfar,Dumbarton,5,0,H
Main,Scotland,Division 3,1999/2000,02/10/99,Queens Park,Montrose,2,1,H
Main,Scotland,Division 3,1999/2000,16/10/99,Albion Rvs,Berwick,0,3,A
Main,Scotland,Division 3,1999/2000,16/10/99,East Fife,East Stirling,1,0,H
Main,Scotland,Division 3,1999/2000,16/10/99,Forfar,Cowdenbeath,3,1,H
Main,Scotland,Division 3,1999/2000,16/10/99,Montrose,Dumbarton,1,4,A
