country_type,Country,League,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
Main,Scotland,Division 1,1995/1996,13/08/95,Airdrie,Dunfermline,0,1,A
Main,Scotland,Division 1,1995/1996,13/08/95,Clydebank,St Mirren,1,1,D
Main,Scotland,Division 1,1995/1996,13/08/95,Dumbarton,Hamilton,1,0,H
Main,Scotland,Division 1,1995/1996,13/08/95,Dundee United,Morton,1,1,D
Main,Scotland,Division 1,1995/1996,13/08/95,St Johnstone,Dundee,0,2,A
Main,Scotland,Division 1,1995/1996,26/08/95,Dundee,Airdrie,1,1,D
Main,Scotland,Division 1,1995/1996,26/08/95,Dunfermline,Dundee United,3,0,H
Main,Scotland,Division 1,1995/1996,26/08/95,Morton,Dumbarton,1,2,A
Main,Scotland,Division 1,1995/1996,26/08/95,St Mirren,St Johnstone,0,0,D
Main,Scotland,Division 1,1995/1996,27/08/95,Hamilton,Clydebank,0,2,A
Main,Scotland,Division 1,1995/1996,02/09/95,Airdrie,St Mirren,1,2,A
Main,Scotland,Division 1,1995/1996,02/09/95,Clydebank,Dundee,1,1,D
Main,Scotland,Division 1,1995/1996,02/09/95,Dumbarton,Dunfermline,0,4,A
Main,Scotland,Division 1,1995/1996,02/09/95,Dundee United,Hamilton,2,1,H
Main,Scotland,Division 1,1995/1996,02/09/95,St Johnstone,Morton,0,2,A
Main,Scotland,Division 1,1995/1996,09/09/95,Dumbarton,Airdrie,1,2,A
Main,Scotland,Division 1,1995/1996,09/09/95,Dundee United,St Mirren,1,0,H
Main,Scotland,Division 1,1995/1996,09/09/95,Dunfermline,Clydebank,2,1,H
Main,Scotland,Division 1,1995/1996,09/09/95,Hamilton,St Johnstone,0,3,A
Main,Scotland,Division 1,1995/1996,09/09/95,Morton,Dundee,2,2,D
Main,Scotland,Division 1,1995/1996,16/09/95,Airdrie,Morton,3,2,H
Main,Scotland,Division 1,1995/1996,16/09/95,Clydebank,Dundee United,1,2,A
Main,Scotland,Division 1,1995/1996,16/09/95,Dundee,Hamilton,1,1,D
Main,Scotland,Division 1,1995/1996,16/09/95,St Johnstone,Dumbarton,4,1,H
Main,Scotland,Division 1,1995/1996,16/09/95,St Mirren,Dunfermline,0,2,A
Main,Scotland,Division 1,1995/1996,23/09/95,Dumbarton,Dundee,1,5,A
Main,Scotland,Division 1,1995/1996,23/09/95,Dundee United,Airdrie,1,2,A
Main,Scotland,Division 1,1995/1996,23/09/95,Hamilton,St Mirren,2,2,D
Main,Scotland,Division 1,1995/1996,23/09/95,Morton,Dunfermline,2,0,H
Main,Scotland,Division 1,1995/1996,23/09/95,St Johnstone,Clydebank,2,2,D
Main,Scotland,Division 1,1995/1996,30/09/95,Airdrie,Hamilton,0,0,D
Main,Scotland,Division 1,1995/1996,30/09/95,Clydebank,Dumbarton,2,1,H
Main,Scotland,Division 1,1995/1996,30/09/95,Dundee,Dundee United,2,3,A
Main,Scotland,Division 1,1995/1996,30/09/95,Dunfermline,St Johnstone,2,1,H
Main,Scotland,Division 1,1995/1996,30/09/95,St Mirren,Morton,1,4,A
Main,Scotland,Division 1,1995/1996,07/10/95,Clydebank,Morton,1,0,H
Main,Scotland,Division 1,1995/1996,07/10/95,Dumbarton,Dundee United,1,0,H
Main,Scotland,Division 1,1995/1996,07/10/95,Dundee,St Mirren,3,1,H
Main,Scotland,Division 1,1995/1996,07/10/95,Hamilton,Dunfermline,1,3,A
Main,Scotland,Division 1,1995/1996,07/10/95,St Johnstone,Airdrie,1,0,H
Main,Scotland,Division 1,1995/1996,14/10/95,Airdrie,Clydebank,1,1,D
Main,Scotland,Division 1,1995/1996,14/10/95,Dundee United,St Johnstone,2,1,H
Main,Scotland,Division 1,1995/1996,14/10/95,Dunfermline,Dundee,0,1,A
Main,Scotland,Division 1,1995/1996,14/10/95,Morton,Hamilton,2,0,H
Main,Scotland,Division 1,1995/1996,14/10/95,St Mirren,Dumbarton,3,2,H
Main,Scotland,Division 1,1995/1996,21/10/95,Dundee,Clydebank,1,1,D
