country_type,Country,League,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
Main,Scotland,Division 1,1994/1995,13/08/94,Airdrie,Dunfermline,0,0,D
Main,Scotland,Division 1,1994/1995,13/08/94,Ayr,Hamilton,1,1,D
Main,Scotland,Division 1,1994/1995,13/08/94,Clydebank,Stranraer,2,0,H
Main,Scotland,Division 1,1994/1995,13/08/94,Dundee,St Mirren,2,0,H
Main,Scotland,Division 1,1994/1995,13/08/94,Raith Rvs,St Johnstone,1,1,D
Main,Scotland,Division 1,1994/1995,20/08/94,Airdrie,St Johnstone,0,0,D
Main,Scotland,Division 1,1994/1995,20/08/94,Ayr,St Mirren,1,1,D
Main,Scotland,Division 1,1994/1995,20/08/94,Clydebank,Dunfermline,0,1,A
Main,Scotland,Division 1,1994/1995,20/08/94,Dundee,Stranraer,3,1,H
Main,Scotland,Division 1,1994/1995,20/08/94,Raith Rvs,Hamilton,1,1,D
Main,Scotland,Division 1,1994/1995,28/08/94,Dunfermline,Raith Rvs,1,0,H
Main,Scotland,Division 1,1994/1995,28/08/94,Hamilton,Airdrie,2,6,A
Main,Scotland,Division 1,1994/1995,28/08/94,St Johnstone,Dundee,0,1,A
Main,Scotland,Division 1,1994/1995,28/08/94,St Mirren,Clydebank,2,1,H
Main,Scotland,Division 1,1994/1995,28/08/94,Stranraer,Ayr,2,1,H
Main,Scotland,Division 1,1994/1995,03/09/94,Ayr,St Johnstone,3,4,A
Main,Scotland,Division 1,1994/1995,03/09/94,Dundee,Airdrie,1,1,D
Main,Scotland,Division 1,1994/1995,03/09/94,Hamilton,Stranraer,1,0,H
Main,Scotland,Division 1,1994/1995,03/09/94,Raith Rvs,Clydebank,1,1,D
Main,Scotland,Division 1,1994/1995,03/09/94,St Mirren,Dunfermline,1,1,D
Main,Scotland,Division 1,1994/1995,10/09/94,Airdrie,Ayr,0,0,D
Main,Scotland,Division 1,1994/1995,10/09/94,Clydebank,Dundee,5,2,H
Main,Scotland,Division 1,1994/1995,10/09/94,Dunfermline,Hamilton,4,0,H
Main,Scotland,Division 1,1994/1995,10/09/94,St Johnstone,St Mirren,1,1,D
Main,Scotland,Division 1,1994/1995,10/09/94,Stranraer,Raith Rvs,0,0,D
Main,Scotland,Division 1,1994/1995,24/09/94,Airdrie,Clydebank,2,0,H
Main,Scotland,Division 1,1994/1995,24/09/94,Ayr,Dundee,3,2,H
Main,Scotland,Division 1,1994/1995,24/09/94,Dunfermline,Stranraer,1,0,H
