country_type,Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Extra,Sweden,Allsvenskan,2012,31/03/2012,15:00,Elfsborg,Djurgarden,2,1,H,1.71,3.98,5.44,1.73,3.98,5.5,1.66,3.68,5
Extra,Sweden,Allsvenskan,2012,31/03/2012,15:00,GAIS,Hacken,0,0,D,2.21,3.57,3.48,2.5,3.57,3.5,2.25,3.24,3.11
Extra,Sweden,Allsvenskan,2012,31/03/2012,15:00,Sundsvall,Kalmar,0,1,A,2.72,2.39,2.8,2.75,3.31,2.82,2.64,3.14,2.62
Extra,Sweden,Allsvenskan,2012,01/04/2012,13:00,AIK,Mjallby,0,0,D,1.75,3.63,5.73,1.75,3.63,5.75,1.71,3.43,4.99
Extra,Sweden,Allsvenskan,2012,01/04/2012,16:30,Syrianska,Goteborg,2,1,H,5.01,3.49,1.87,5.01,3.65,1.89,4.63,3.41,1.77
Extra,Sweden,Allsvenskan,2012,02/04/2012,18:00,Malmo FF,Gefle,0,0,D,1.4,4.97,9.56,1.45,4.97,9.66,1.39,4.33,8.15
Extra,Sweden,Allsvenskan,2012,02/04/2012,18:00,Orebro,Atvidabergs,3,4,A,2.22,3.19,3.85,2.29,3.5,4,2.1,3.2,3.51
Extra,Sweden,Allsvenskan,2012,02/04/2012,18:05,Norrkoping,Helsingborg,1,0,H,3.72,3.67,2.09,3.91,3.67,2.09,3.63,3.34,2
Extra,Sweden,Allsvenskan,2012,06/04/2012,14:00,Atvidabergs,GAIS,2,1,H,2.87,3.43,2.63,2.93,3.43,2.7,2.68,3.21,2.54
Extra,Sweden,Allsvenskan,2012,06/04/2012,14:00,Gefle,Syrianska,1,1,D,2.14,3.34,3.9,2.19,3.4,4.25,2.02,3.27,3.64
Extra,Sweden,Allsvenskan,2012,07/04/2012,13:00,Hacken,Malmo FF,5,0,H,2.64,3.38,2.9,2.75,3.38,2.9,2.58,3.16,2.69
Extra,Sweden,Allsvenskan,2012,07/04/2012,15:00,Mjallby,Orebro,0,0,D,1.98,3.37,4.54,2.04,3.45,4.54,1.95,3.27,3.85
Extra,Sweden,Allsvenskan,2012,08/04/2012,14:00,Djurgarden,Sundsvall,1,0,H,1.61,4.12,6.44,1.7,4.12,6.44,1.63,3.64,5.32
Extra,Sweden,Allsvenskan,2012,08/04/2012,16:30,Helsingborg,Elfsborg,2,1,H,2.06,3.52,3.97,2.06,3.58,4.09,1.97,3.34,3.73
Extra,Sweden,Allsvenskan,2012,09/04/2012,14:00,Goteborg,Norrkoping,1,2,A,1.49,4.48,8.1,1.51,4.48,8.1,1.46,4.13,6.83
Extra,Sweden,Allsvenskan,2012,09/04/2012,16:30,Kalmar,AIK,1,2,A,2.58,3.39,2.95,2.58,3.39,3.2,2.4,3.15,2.95
Extra,Sweden,Allsvenskan,2012,10/04/2012,18:00,Atvidabergs,Gefle,6,1,H,2.1,3.42,3.96,2.1,3.42,3.96,2.01,3.24,3.63
Extra,Sweden,Allsvenskan,2012,11/04/2012,18:00,GAIS,Djurgarden,0,0,D,2.12,3.42,3.9,2.14,3.42,3.9,2.05,3.26,3.55
Extra,Sweden,Allsvenskan,2012,11/04/2012,18:00,Orebro,Helsingborg,0,0,D,3.22,3.44,2.39,3.4,3.44,2.39,3.22,3.26,2.19
Extra,Sweden,Allsvenskan,2012,12/04/2012,18:00,Elfsborg,Norrkoping,2,0,H,1.59,4.2,6.55,1.6,4.4,7,1.5,4.06,6.11
Extra,Sweden,Allsvenskan,2012,12/04/2012,18:00,Hacken,Mjallby,4,2,H,1.81,3.57,5.3,1.81,3.6,5.35,1.72,3.42,4.88
Extra,Sweden,Allsvenskan,2012,12/04/2012,18:00,Sundsvall,Syrianska,4,0,H,1.74,3.74,5.68,1.9,3.74,5.68,1.77,3.46,4.59
Extra,Sweden,Allsvenskan,2012,12/04/2012,18:05,AIK,Goteborg,1,1,D,2.38,3.25,3.42,2.43,3.3,3.42,2.27,3.18,3.1
Extra,Sweden,Allsvenskan,2012,13/04/2012,18:00,Malmo FF,Kalmar,2,0,H,1.66,3.92,6.12,1.8,3.92,6.12,1.64,3.68,5.24
Extra,Sweden,Allsvenskan,2012,15/04/2012,14:00,Syrianska,AIK,0,1,A,4.61,3.49,1.93,5,3.6,1.97,4.26,3.37,1.84
Extra,Sweden,Allsvenskan,2012,15/04/2012,16:30,Goteborg,Orebro,2,2,D,1.48,4.41,8.5,1.5,4.41,8.5,1.44,4.09,7.17
Extra,Sweden,Allsvenskan,2012,15/04/2012,16:30,Mjallby,Atvidabergs,2,0,H,2.04,3.5,4.05,2.12,3.5,4.05,2.03,3.3,3.49
Extra,Sweden,Allsvenskan,2012,16/04/2012,18:00,Gefle,Elfsborg,1,2,A,4.13,3.66,1.98,4.13,3.66,2,3.76,3.34,1.95
Extra,Sweden,Allsvenskan,2012,16/04/2012,18:00,Helsingborg,GAIS,1,1,D,1.79,3.52,5.62,1.83,3.65,5.69,1.72,3.43,4.94
Extra,Sweden,Allsvenskan,2012,16/04/2012,18:00,Kalmar,Hacken,3,1,H,3.27,3.42,2.35,3.38,3.42,2.88,2.92,3.22,2.36
Extra,Sweden,Allsvenskan,2012,16/04/2012,18:00,Norrkoping,Sundsvall,2,2,D,2.19,3.29,3.88,2.21,3.4,4,2.03,3.23,3.67
Extra,Sweden,Allsvenskan,2012,16/04/2012,18:05,Djurgarden,Malmo FF,2,3,A,2.54,3.3,3.07,2.8,3.32,3.07,2.52,3.18,2.75
Extra,Sweden,Allsvenskan,2012,20/04/2012,18:00,Mjallby,Djurgarden,4,3,H,2.13,3.28,4.09,2.2,3.3,4.09,2.09,3.19,3.54
Extra,Sweden,Allsvenskan,2012,21/04/2012,13:00,Atvidabergs,Helsingborg,1,2,A,3.23,3.42,2.39,3.4,3.43,2.39,3.07,3.26,2.26
Extra,Sweden,Allsvenskan,2012,21/04/2012,15:00,Kalmar,Gefle,0,1,A,1.74,3.76,5.55,1.75,3.76,5.75,1.71,3.54,4.83
Extra,Sweden,Allsvenskan,2012,22/04/2012,14:00,GAIS,Norrkoping,2,0,H,1.7,3.95,5.6,1.8,3.95,5.6,1.72,3.54,4.74
Extra,Sweden,Allsvenskan,2012,22/04/2012,16:30,AIK,Sundsvall,1,1,D,1.57,4.07,7.23,1.6,4.2,7.23,1.53,3.85,6.16
Extra,Sweden,Allsvenskan,2012,23/04/2012,18:00,Hacken,Goteborg,1,2,A,2.52,3.43,3,2.52,3.49,3.05,2.37,3.27,2.86
Extra,Sweden,Allsvenskan,2012,23/04/2012,18:00,Malmo FF,Syrianska,2,0,H,1.24,6.25,16.5,1.3,6.63,17,1.23,5.7,12.24
Extra,Sweden,Allsvenskan,2012,23/04/2012,18:05,Orebro,Elfsborg,0,2,A,3.74,3.62,2.11,3.78,3.62,2.13,3.49,3.34,2.04
Extra,Sweden,Allsvenskan,2012,26/04/2012,17:30,Elfsborg,GAIS,2,1,H,1.74,3.88,5.4,1.74,3.97,5.75,1.64,3.68,5.18
Extra,Sweden,Allsvenskan,2012,26/04/2012,17:30,Gefle,AIK,0,1,A,3.3,3.36,2.38,3.5,3.4,2.38,3.25,3.19,2.21
Extra,Sweden,Allsvenskan,2012,27/04/2012,18:00,Helsingborg,Mjallby,1,1,D,1.75,3.81,5.37,1.76,3.9,5.55,1.68,3.58,5.02
Extra,Sweden,Allsvenskan,2012,28/04/2012,13:00,Syrianska,Hacken,1,2,A,4.59,3.88,1.83,4.59,3.93,1.85,4.25,3.55,1.79
Extra,Sweden,Allsvenskan,2012,28/04/2012,15:00,Goteborg,Atvidabergs,2,1,H,1.47,4.63,8.19,1.5,4.65,8.19,1.44,4.19,7.08
Extra,Sweden,Allsvenskan,2012,29/04/2012,14:00,Djurgarden,Kalmar,1,1,D,1.9,3.62,4.61,1.99,3.62,4.61,1.86,3.41,4.07
Extra,Sweden,Allsvenskan,2012,29/04/2012,14:00,Sundsvall,Orebro,3,1,H,1.95,3.61,4.34,2.04,3.61,4.34,1.95,3.35,3.79
Extra,Sweden,Allsvenskan,2012,29/04/2012,16:30,Norrkoping,Malmo FF,3,2,H,3.94,3.5,2.08,4,3.51,2.1,3.61,3.32,2.01
Extra,Sweden,Allsvenskan,2012,02/05/2012,18:00,Atvidabergs,Hacken,0,3,A,3.1,3.52,2.39,3.13,3.52,2.41,2.92,3.29,2.32
Extra,Sweden,Allsvenskan,2012,02/05/2012,18:00,Goteborg,Sundsvall,2,0,H,1.5,4.5,7.4,1.55,4.5,7.4,1.49,4.07,6.37
Extra,Sweden,Allsvenskan,2012,02/05/2012,18:00,Syrianska,Elfsborg,1,4,A,6.18,4.2,1.61,6.5,4.23,1.61,5.7,3.93,1.55
Extra,Sweden,Allsvenskan,2012,02/05/2012,18:05,Helsingborg,AIK,0,0,D,1.85,3.77,4.58,2,3.77,4.68,1.85,3.44,4.15
Extra,Sweden,Allsvenskan,2012,03/05/2012,18:00,Djurgarden,Orebro,2,1,H,1.68,3.93,5.78,1.7,3.93,5.78,1.66,3.66,4.98
Extra,Sweden,Allsvenskan,2012,03/05/2012,18:00,Gefle,Norrkoping,0,2,A,2.29,3.39,3.44,2.34,3.42,3.44,2.24,3.24,3.13
Extra,Sweden,Allsvenskan,2012,03/05/2012,18:00,Mjallby,Malmo FF,2,2,D,3.22,3.54,2.35,3.26,3.54,2.35,3.08,3.26,2.24
Extra,Sweden,Allsvenskan,2012,04/05/2012,18:00,Kalmar,GAIS,2,2,D,2.62,3.22,3.05,2.63,3.35,3.05,2.43,3.17,2.87
Extra,Sweden,Allsvenskan,2012,05/05/2012,15:00,Sundsvall,Helsingborg,0,1,A,2.9,3.34,2.65,3.15,3.34,2.65,2.86,3.21,2.43
Extra,Sweden,Allsvenskan,2012,06/05/2012,14:00,Norrkoping,Syrianska,1,4,A,1.57,4.36,6.46,1.62,4.36,6.6,1.55,3.88,5.8
