country_type,Country,League,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
Main,Scotland,Division 3,2003/2004,23/08/03,Montrose,Cowdenbeath,1,3,A,1,1,D,2.375,3.5,2.375,2.4,3.4,2.4,999,999,999,2.5,3.5,2.25,999,999,999,2.37,3.5,2.37,2.37,3.5,2.37
Main,Scotland,Division 3,2003/2004,23/08/03,Stirling,East Stirling,5,1,H,2,1,H,1.571,3.75,4.5,1.5,3.75,5,999,999,999,1.444,4,5.5,999,999,999,1.53,3.6,5,1.53,3.6,5
Main,Scotland,Division 3,2003/2004,30/08/03,East Stirling,Cowdenbeath,1,1,D,0,0,D,3.5,3.5,1.8,3.6,3.4,1.8,999,999,999,3.5,3.5,1.8,999,999,999,3.6,3.6,1.75,4,3.6,1.66
Main,Scotland,Division 3,2003/2004,30/08/03,Gretna,Albion Rvs,3,1,H,2,0,H,2.375,3.5,2.375,2.5,3.4,2.3,999,999,999,2.5,3.5,2.25,999,999,999,2.5,3.4,2.25,2.5,3.4,2.3
Main,Scotland,Division 3,2003/2004,30/08/03,Montrose,Elgin,3,3,D,2,1,H,2.3,3.4,2.5,2.15,3.5,2.65,999,999,999,2.1,3.5,2.75,999,999,999,2.2,3.5,2.6,2.3,3.4,2.5
Main,Scotland,Division 3,2003/2004,30/08/03,Peterhead,Stranraer,1,2,A,0,0,D,1.615,3.6,4.333,1.6,3.5,4.6,999,999,999,1.727,3.5,3.75,999,999,999,1.57,3.75,4.5,1.66,3.6,4
Main,Scotland,Division 3,2003/2004,30/08/03,Queens Park,Stirling,0,2,A,0,2,A,2.5,3.4,2.3,2.5,3.5,2.25,999,999,999,2.5,3.5,2.25,999,999,999,2.5,3.4,2.3,2.6,3.4,2.25
Main,Scotland,Division 3,2003/2004,06/09/03,Albion Rvs,Elgin,1,2,A,1,0,H,1.66,3.6,4,1.65,3.6,4.15,999,999,999,1.615,3.5,4.5,999,999,999,1.7,3.5,4,1.61,3.6,4.33
Main,Scotland,Division 3,2003/2004,13/09/03,Albion Rvs,Montrose,0,1,A,0,0,D,1.66,3.6,4,1.65,3.6,4,999,999,999,1.615,4,4,999,999,999,1.66,3.5,4.2,1.66,3.5,4.2
Main,Scotland,Division 3,2003/2004,13/09/03,Cowdenbeath,Queens Park,0,1,A,0,0,D,2,3.6,2.62,2,3.6,2.85,999,999,999,2.1,3.5,2.75,999,999,999,2,3.6,2.87,2,3.6,2.87
Main,Scotland,Division 3,2003/2004,13/09/03,Elgin,Gretna,3,3,D,2,2,D,2.5,3.4,2.3,2.5,3.4,2.3,999,999,999,2.25,3.5,2.5,999,999,999,2.5,3.4,2.3,2.62,3.5,2.2
Main,Scotland,Division 3,2003/2004,13/09/03,Stirling,Peterhead,3,1,H,0,1,A,2.37,3.5,2.37,2.4,3.4,2.4,999,999,999,2.25,3.4,2.625,999,999,999,2.37,3.5,2.37,2.4,3.4,2.4
Main,Scotland,Division 3,2003/2004,13/09/03,Stranraer,East Stirling,4,0,H,1,0,H,1.44,3.75,6,1.5,3.75,5,999,999,999,1.444,4,5.5,999,999,999,1.44,4,5.5,1.5,3.8,5
Main,Scotland,Division 3,2003/2004,20/09/03,Cowdenbeath,Gretna,0,1,A,0,0,D,2.37,3.5,2.37,2.35,3.35,2.5,999,999,999,2.375,3.5,2.375,999,999,999,2.37,3.5,2.37,2.5,3.4,2.3
Main,Scotland,Division 3,2003/2004,20/09/03,Peterhead,East Stirling,2,0,H,0,0,D,1.33,4.5,6.5,1.32,4.35,7.25,999,999,999,1.25,5,8,999,999,999,1.28,4.5,8,1.28,4.5,8
Main,Scotland,Division 3,2003/2004,20/09/03,Queens Park,Montrose,1,1,D,1,1,D,2.1,3.5,2.75,2.05,3.4,2.9,999,999,999,1.909,3.5,3.2,999,999,999,2,3.6,2.87,2,3.6,2.87
Main,Scotland,Division 3,2003/2004,20/09/03,Stirling,Albion Rvs,2,1,H,1,1,D,1.8,3.5,3.5,1.77,3.5,3.6,999,999,999,1.727,3.75,3.5,999,999,999,1.83,3.6,3.25,2,3.6,2.87
Main,Scotland,Division 3,2003/2004,20/09/03,Stranraer,Elgin,4,3,H,3,1,H,1.8,3.5,3.5,1.8,3.45,3.55,999,999,999,1.8,3.5,3.5,999,999,999,1.8,3.5,3.5,1.8,3.6,3.4
Main,Scotland,Division 3,2003/2004,27/09/03,Albion Rvs,Peterhead,2,0,H,0,0,D,2.75,3.5,2.1,2.75,3.5,2.1,999,999,999,2.375,3.5,2.375,999,999,999,2.75,3.5,2.1,2.75,3.5,2.1
Main,Scotland,Division 3,2003/2004,27/09/03,East Stirling,Queens Park,1,2,A,0,1,A,3,3.4,2,2.9,3.5,2,999,999,999,3.5,3.5,1.8,999,999,999,3.2,3.5,1.9,3.3,3.75,1.8
Main,Scotland,Division 3,2003/2004,27/09/03,Elgin,Cowdenbeath,0,4,A,0,1,A,2.2,3.5,2.6,2.2,3.5,2.6,999,999,999,2,3.4,3,999,999,999,2.2,3.5,2.6,2.5,3.6,2.25
Main,Scotland,Division 3,2003/2004,27/09/03,Gretna,Stirling,0,1,A,0,0,D,2.5,3.4,2.3,2.4,3.5,2.35,999,999,999,2.5,3.5,2.25,999,999,999,2.37,3.5,2.37,2.6,3.4,2.25
Main,Scotland,Division 3,2003/2004,27/09/03,Montrose,Stranraer,2,4,A,0,2,A,2.75,3.5,2.1,2.6,3.5,2.2,999,999,999,2.625,3.5,2.2,999,999,999,2.6,3.5,2.2,3.2,3.5,1.9
Main,Scotland,Division 3,2003/2004,04/10/03,Albion Rvs,East Stirling,5,0,H,1,0,H,1.4,3.75,7,1.4,3.85,6.25,999,999,999,1.286,5,7,999,999,999,1.36,4,6.5,1.36,4,7
Main,Scotland,Division 3,2003/2004,04/10/03,Cowdenbeath,Stranraer,0,1,A,0,1,A,2.6,3.5,2.2,2.6,3.45,2.2,999,999,999,2.625,3.5,2.2,999,999,999,2.5,3.5,2.25,2.62,3.5,2.2
