country_type,Country,League,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
Main,Scotland,Premier League,1994/1995,24/09/94,Aberdeen,Rangers,2,2,D
Main,Scotland,Premier League,1994/1995,24/09/94,Celtic,Hibernian,2,0,H
Main,Scotland,Premier League,1994/1995,24/09/94,Dundee United,Falkirk,1,0,H
Main,Scotland,Premier League,1994/1995,24/09/94,Hearts,Kilmarnock,3,0,H
Main,Scotland,Premier League,1994/1995,24/09/94,Partick,Motherwell,2,2,D
Main,Scotland,Premier League,1994/1995,01/10/94,Falkirk,Hearts,2,1,H
Main,Scotland,Premier League,1994/1995,01/10/94,Hibernian,Partick,3,0,H
Main,Scotland,Premier League,1994/1995,01/10/94,Kilmarnock,Aberdeen,2,1,H
Main,Scotland,Premier League,1994/1995,01/10/94,Motherwell,Celtic,1,1,D
Main,Scotland,Premier League,1994/1995,01/10/94,Rangers,Dundee United,2,0,H
Main,Scotland,Premier League,1994/1995,08/10/94,Celtic,Aberdeen,0,0,D
Main,Scotland,Premier League,1994/1995,08/10/94,Hibernian,Rangers,2,1,H
Main,Scotland,Premier League,1994/1995,08/10/94,Kilmarnock,Dundee United,0,2,A
Main,Scotland,Premier League,1994/1995,08/10/94,Motherwell,Falkirk,5,3,H
Main,Scotland,Premier League,1994/1995,08/10/94,Partick,Hearts,0,1,A
Main,Scotland,Premier League,1994/1995,15/10/94,Aberdeen,Motherwell,1,3,A
Main,Scotland,Premier League,1994/1995,15/10/94,Dundee United,Partick,0,1,A
Main,Scotland,Premier League,1994/1995,15/10/94,Falkirk,Hibernian,0,0,D
Main,Scotland,Premier League,1994/1995,15/10/94,Hearts,Celtic,1,0,H
Main,Scotland,Premier League,1994/1995,15/10/94,Rangers,Kilmarnock,2,0,H
Main,Scotland,Premier League,1994/1995,22/10/94,Celtic,Falkirk,0,2,A
Main,Scotland,Premier League,1994/1995,22/10/94,Dundee United,Hibernian,0,0,D
